id,InYear,InMonth,InDay,intakedate,intakereason,animalname,breedname,speciesname,AgeYears,AgeMonths,AgeWeeks,animalage,sexname,OutYear,OutDay,OutMonth,movementdate,movementtype,returndate,returnedreason,DeadYear,DeadMonth,DeadDay,deceaseddate,deceasedreason,diedoffshelter,puttosleep
62132,2019,01,14,2019-01-14 16:39:48,Rabies Monitoring,Roscoe,Bully Breed Mix,Dog,1,1,,1 year 1 month.,Male,2019,01,24,2019-01-24 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62137,2019,01,15,2019-01-15 16:18:30,Stray,Annabelle,Hound,Dog,,7,,7 months.,Female,2019,04,16,2019-04-16 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62138,2019,01,15,2019-01-15 16:33:02,Incompatible with owner lifestyle,Apollo,Bully Breed Mix,Dog,,10,,10 months.,Male,2019,01,31,2019-01-31 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62139,2019,01,16,2019-01-16 03:47:41,Police Assist,Foxy,Chihuahua,Dog,1,0,,1 year 0 months.,Female,2019,01,23,2019-01-23 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62140,2019,01,16,2019-01-16 08:57:08,Stray,Luna May,Border Collie,Dog,5,2,,5 years 2 months.,Female,2019,01,16,2019-01-16 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62141,2019,01,16,2019-01-16 09:18:57,Stray,Denver,Mix,Dog,,,23,23 weeks.,Male,2019,01,24,2019-01-24 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62142,2019,01,16,2019-01-16 09:18:57,Stray,Austin,Mix,Dog,,,23,23 weeks.,Male,2019,01,25,2019-01-25 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62146,2019,01,16,2019-01-16 14:14:56,Incompatible with owner lifestyle,Cosmo,Maltese,Dog,1,7,,1 year 7 months.,Male,2019,01,19,2019-01-19 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62147,2019,01,16,2019-01-16 15:36:31,Incompatible with owner lifestyle,Maka (pronunced Meeka),Yorkshire Terrier/Mix,Dog,,11,,11 months.,Female,2019,01,24,2019-01-24 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62149,2019,01,16,2019-01-16 16:21:00,Incompatible with other pets,Remi,Mountain Cur/Mix,Dog,4,6,,4 years 6 months.,Female,2019,02,19,2019-02-19 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62153,2019,01,17,2019-01-17 18:32:27,Unsuitable Accommodation,Nova,Boxer/Bully Breed Mix,Dog,1,6,,1 year 6 months.,Female,2019,05,05,2019-05-05 00:00:00,Foster,2019-05-12 00:00:00,Stray,,,,,Court Order/ Legal,0,0
62153,2019,01,17,2019-01-17 18:32:27,Unsuitable Accommodation,Nova,Boxer/Bully Breed Mix,Dog,1,6,,1 year 6 months.,Female,2019,06,11,2019-06-11 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
